id;name;lat;lon;cat;subcat;url
185;Cmentarz ewangelicko-augsburski w Brzezinach;51.98932;18.80091;cmentarz;protestancki;https://osadnicy.info/miejsca/cmentarze/cmentarz-ewangelicko-augsburski-w-brzezinach-2/
186;Cmentarz ewangelicko-augsburski w Tuszynie;51.60239;19.53282;cmentarz;protestancki;https://osadnicy.info/miejsca/cmentarze/cmentarz-ewangelicko-augsburski-w-tuszynie/
187;Cmentarz ewangelicko-augsburski w Trząsie;51.29027;19.22009;cmentarz;protestancki;https://osadnicy.info/miejsca/cmentarze/cmentarz-ewangelicko-augsburski-w-trzasie/
188;Cmentarz ewangelicko-augsburski w Truszczanku;51.28218;19.56429;cmentarz;protestancki;https://osadnicy.info/miejsca/cmentarze/cmentarz-ewangelicko-augsburski-w-truszczanku/
189;Cmentarz ewangelicko-augsburski w Tkaczewskiej Górze;51.89939;19.25766;cmentarz;protestancki;https://osadnicy.info/miejsca/cmentarze/cmentarz-ewangelicko-augsburski-w-tkaczewskiej-gorze/
190;Cmentarz ewangelicko-augsburski w Teolinie;51.7991;19.63605;cmentarz;protestancki;https://osadnicy.info/miejsca/cmentarze/cmentarz-ewangelicko-augsburski-w-teolinie/
191;Cmentarz ewangelicko-augsburski w Teodorowie;51.68242;19.94607;cmentarz;protestancki;https://osadnicy.info/miejsca/cmentarze/cmentarz-ewangelicko-augsburski-w-teodorowie/
192;Cmentarz ewangelicko-augsburski w Taurowie;51.74999;19.99224;cmentarz;protestancki;https://osadnicy.info/miejsca/cmentarze/cmentarz-ewangelicko-augsburski-w-taurowie/
193;Cmentarz ewangelicko-augsburski w Syskach;51.40224;20.05458;cmentarz;protestancki;https://osadnicy.info/miejsca/cmentarze/cmentarz-ewangelicko-augsburski-w-syskach/
194;Cmentarz ewangelicko-augsburski w Swędowie;51.90333;19.54801;cmentarz;protestancki;https://osadnicy.info/miejsca/cmentarze/cmentarz-ewangelicko-augsburski-w-swedowie/
195;Cmentarz ewangelicko-augsburski w Strykowie;51.89888;19.60604;cmentarz;protestancki;https://osadnicy.info/miejsca/cmentarze/cmentarz-ewangelicko-augsburski-w-strykowie/
196;Cmentarz ewangelicko-augsburski w Stokach;51.44349;19.35055;cmentarz;protestancki;https://osadnicy.info/miejsca/cmentarze/cmentarz-ewangelicko-augsburski-w-stokach/
197;Cmentarz ewangelicko-augsburski w Stoczkach;51.37273;19.98101;cmentarz;protestancki;https://osadnicy.info/miejsca/cmentarze/cmentarz-ewangelicko-augsburski-w-stoczkach/
198;Cmentarz ewangelicko-augsburski w Stępowiźnie;51.86736;19.44006;cmentarz;protestancki;https://osadnicy.info/miejsca/cmentarze/cmentarz-ewangelicko-augsburski-w-stepowiznie/
199;Cmentarz ewangelicko-augsburski w Starowej Górze;51.68529;19.47572;cmentarz;protestancki;https://osadnicy.info/miejsca/cmentarze/cmentarz-ewangelicko-augsburski-w-starowej-gorze/
200;Cmentarz ewangelicko-augsburski w Stanisławowie Nowym;51.79327;19.19902;cmentarz;protestancki;https://osadnicy.info/miejsca/cmentarze/cmentarz-ewangelicko-augsburski-w-stanislawowie-nowym/
201;Cmentarz ewangelicko-augsburski w Stamirowicach;51.73719;19.88081;cmentarz;protestancki;https://osadnicy.info/miejsca/cmentarze/cmentarz-ewangelicko-augsburski-w-stamirowicach/
